Year,Month,MeanTemp,AirFrost,Rainfall
2015,5,10.7,0.4,79.6
2015,6,13.9,0.0,35.3
2015,7,15.8,0.0,79.2
2015,8,15.9,0.0,92.3
2015,9,12.5,0.0,50.9
2015,10,10.7,0.0,60.3
2015,11,9.2,2.4,117.6
2015,12,9.4,0.6,133.5
2016,1,5.2,7.9,124.3
2016,2,4.7,10.8,72.7
2016,3,5.6,6.7,78.3
2016,4,7.3,4.8,62.5
2016,5,12.1,0.5,51.4
2016,6,14.8,0.0,95.3
2016,7,16.6,0.0,39.9
2016,8,16.8,0.0,64.5
2016,9,15.8,0.0,62.6
2016,10,10.6,0.0,36.3
2016,11,5.6,6.3,100.1
2016,12,5.9,7.1,35.6
2017,1,3.8,14.7,62.8
2017,2,5.9,4.0,61.8
2017,3,8.4,1.2,69.9
2017,4,8.8,2.4,17.6
2017,5,12.9,0.2,57.1
2017,6,15.9,0.0,82.1
2017,7,16.5,0.0,90.8
2017,8,15.6,0.0,72.4
2017,9,13.4,0.0,91.2
2017,10,12.1,0.3,53.9
2017,11,6.6,5.6,67.5
2017,12,4.6,11.5,98.0
2018,1,5.1,6.3,90.4
2018,2,2.6,15.6,48.6
2018,3,4.6,10.6,103.0
2018,4,9.5,0.6,78.3
2018,5,12.9,0.4,44.9
2018,6,15.8,0.0,14.6
2018,7,18.8,0.0,36.0
2018,8,16.7,0.0,66.3
2018,9,13.6,0.0,59.4
2018,10,10.5,2.6,64.8
2018,11,7.9,2.3,89.7
2018,12,6.5,3.9,98.9
2019,1,3.8,13.3,37.7
2019,2,6.5,7.1,47.7
2019,3,7.7,1.5,88.2
2019,4,8.8,4.5,35.3
2019,5,11.0,0.5,42.3
2019,6,14.2,0.0,107.3
2019,7,17.5,0.0,70.5
2019,8,17.0,0.0,83.7
2019,9,14.1,0.0,113.5
2019,10,10.0,0.8,128.0
2019,11,6.1,4.8,119.6
2019,12,5.6,6.0,105.7
2020,1,6.2,3.9,74.1
2020,2,6.2,3.4,160.9
2020,3,6.4,5.8,50.7
2020,4,10.2,1.5,28.8
2020,5,12.4,1.6,9.6
2020,6,15.0,0.0,91.2
2020,7,15.7,0.0,66.0
2020,8,17.4,0.0,114.6
2020,9,13.9,0.0,47.8
2020,10,10.3,0.1,144.2
2020,11,8.4,2.7,64.1
2020,12,4.8,8.3,137.0
2021,1,2.9,16.7,128.4
2021,2,4.8,10.5,75.4
2021,3,7.0,4.0,50.4
2021,4,6.2,12.9,11.1
2021,5,9.9,1.8,113.7
2021,6,15.3,0.0,49.7
2021,7,17.5,0.0,80.1
2021,8,15.8,0.0,48.3
2021,9,15.8,0.0,59.9
2021,10,11.8,0.1,128.9
2021,11,7.3,4.7,40.0
2021,12,6.1,4.7,91.4
2022,1,4.6,12.1,32.2
2022,2,6.5,2.6,99.7
2022,3,7.5,3.7,43.2
2022,4,8.8,5.2,24.9
2022,5,12.8,0.0,52.1
2022,6,14.8,0.0,45.9
2022,7,18.1,0.0,23.4
2022,8,18.3,0.0,35.5
2022,9,14.3,0.0,78.3
2022,10,12.7,0.0,106.9
2022,11,8.9,0.7,143.2
2022,12,3.5,12.9,93.4
2023,1,4.9,9.8,91.5
2023,2,6.2,7.6,15.5
2023,3,6.8,5.6,122.7
2023,4,8.4,2.7,68.1
2023,5,12.3,0.0,40.3
2023,6,16.7,0.0,41.9
2023,7,16.1,0.0,122.0
2023,8,16.2,0.0,73.4
2023,9,16.6,0.0,84.1
2023,10,12.1,0.4,150.7
2023,11,7.2,4.2,110.6
2023,12,6.8,5.7,145.5
2024,1,4.4,9.7,85.1
2024,2,7.5,3.1,129.5
2024,3,7.8,2.5,94.3
2024,4,9.3,1.2,85.5
2024,5,13.6,0.0,83.9
2024,6,14.0,0.0,34.1
2024,7,16.0,0.0,79.0
2024,8,16.9,0.0,46.2
2024,9,13.8,0.0,133.5
2024,10,11.3,0.4,91.3
2024,11,7.2,6.5,75.4
2024,12,6.8,1.0,82.2
2025,1,3.3,13.4,93.0
2025,2,5.0,6.0,52.2
2025,3,7.5,8.4,14.8
2025,4,10.3,1.4,28.3
2025,5,12.9,0.2,32.8
2025,6,5.0,20.4,227.4
2025,7,10.23,10.0,75.8
2025,8,",",",",","
